CPU,Num
Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,68194
Intel(R) Core(TM) i5-10400F CPU @ 2.90GHz,50728
Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,16323
Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz,16116
Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,12381
Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,12287
Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,12020
Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,11573
Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,10816
Intel(R) Xeon(R) CPU E3-1231 v3 @ 3.40GHz,10227
Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,9376
Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,8895
Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz,8850
Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,7068
AMD Ryzen 5 3600 6-Core Processor              ,6672
Intel(R) Core(TM) i7-10700F CPU @ 2.90GHz,6431
Intel(R) Core(TM) i5-9600KF CPU @ 3.70GHz,5880
Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,5600
Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz,5595
11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz,5368
AMD Ryzen 5 2600 Six-Core Processor            ,5015
Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,4846
Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,4740
Intel(R) Core(TM) i5-10600KF CPU @ 4.10GHz,4502
Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,4376
Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz,4316
Intel(R) Core(TM) i7-9700F CPU @ 3.00GHz,3914
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,3852
Intel(R) Core(TM) i3-4160 CPU @ 3.60GHz,3816
Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,3626
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,3537
Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,3363
Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,3177
11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,3013
Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,2921
Intel(R) Core(TM) i5-6402P CPU @ 2.80GHz,2884
11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,2644
Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,2537
11th Gen Intel(R) Core(TM) i7-11700F @ 2.50GHz,2472
AMD Ryzen 5 3500X 6-Core Processor             ,2418
Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,2327
Intel(R) Core(TM) i3-4150 CPU @ 3.50GHz,2242
AMD Ryzen 5 5600X 6-Core Processor             ,2238
Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,2221
Intel(R) Pentium(R) CPU G4560 @ 3.50GHz,2112
Intel(R) Core(TM) i3-10100F CPU @ 3.60GHz,2018
Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1868
Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,1857
Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz,1795
Intel(R) Pentium(R) CPU G3260 @ 3.30GHz,1785
AMD Athlon(tm) X4 860K Quad Core Processor     ,1781
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,1712
Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,1642
Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1601
Intel(R) Core(TM) i3-10105F CPU @ 3.70GHz,1542
Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz,1497
AMD Ryzen 7 5800H with Radeon Graphics         ,1465
Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,1460
AMD Athlon(tm) X4 740 Quad Core Processor      ,1403
Intel Pentium III Xeon 处理器,1355
Intel(R) Core(TM) i5-9500F CPU @ 3.00GHz,1328
Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz,1313
Intel(R) Core(TM) i3-3240 CPU @ 3.40GHz,1241
Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1215
Intel(R) Core(TM) i7-9700K CPU @ 3.60GHz,1145
Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,1132
Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz,1129
11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,1123
AMD Ryzen 7 4800H with Radeon Graphics         ,1100
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1076
